"","dt_Primary","total","female_percentage","male_percentage","DrugName","female_popularity","male_popularity"
"95","Stimulant",9.15879564589724,0.00091,0.00108,"Nicotine",0.0141643059490085,0.0267062314540059
"96","Depressant",8.90561935031153,0.00036,0.00105,"Pharms - Zopiclone",0.0056657223796034,0.0259643916913947
"97","Psychedelic",9.03545477247905,0.00091,0.00102,"4-AcO-DiPT",0.0141643059490085,0.0252225519287834
"98","Psychedelic",8.90561935031153,0.00054,0.00102,"Peyote",0.0084985835694051,0.0252225519287834
"99","Stimulant",9.38838487861903,0.00218,0.00099,"Lisdexamfetamine",0.0339943342776204,0.0244807121661721
"100","Depressant",8.69707517144841,0.00036,0.00096,"Benzodiazepines",0.0056657223796034,0.0237388724035608
"101","Psychedelic",8.62344870507015,0.00018,0.00096,"DOM",0.0028328611898017,0.0237388724035608
"102","Psychedelic",8.54755645675727,0.00018,0.00093,"4-AcO-MiPT",0.0028328611898017,0.0229970326409496
"103","Psychedelic",8.54755645675727,0.00036,9e-04,"bk-MBDB",0.0056657223796034,0.0222551928783383
"104","Psychedelic",8.69707517144841,0.00073,9e-04,"Ibogaine",0.0113314447592068,0.0222551928783383
"105","Psychedelic",8.46925453217808,0.00036,0.00087,"Mushrooms - P. cyanescens",0.0056657223796034,0.021513353115727
"106","Depressant",8.38838487861903,0.00036,0.00084,"Pharms - Clonidine",0.0056657223796034,0.0207715133531157
"107","Psychedelic",8.54755645675727,0.00091,0.00081,"25B-NBOMe",0.0141643059490085,0.0200296735905044
"108","Psychedelic",8.62344870507015,0.00109,0.00081,"Changa",0.0169971671388102,0.0200296735905044
"109","Stimulant",8.03545477247905,0.00018,0.00075,"Betel Nut",0.0028328611898017,0.0185459940652819
"110","Depressant",8.30477336434136,0.00073,0.00075,"Clonazolam",0.0113314447592068,0.0185459940652819
"111","Stimulant",8.12853387405436,0.00036,0.00075,"Pharms - Propylhexedrine",0.0056657223796034,0.0185459940652819
"112","Psychedelic",7.83804516540582,0,0.00072,"BK-2C-B",0,0.0178041543026706
"113","Psychedelic",7.73308024100734,0,0.00069,"Mushrooms - C. cyanescens",0,0.0170623145400593
"114","Stimulant",7.93872459183224,0.00036,0.00069,"Pseudoephedrine",0.0056657223796034,0.0170623145400593
"115","Depressant",8.12853387405436,0.00091,0.00066,"1,4-Butanediol",0.0141643059490085,0.0163204747774481
"116","Psychedelic",7.83804516540582,0.00036,0.00066,"2C-T-21",0.0056657223796034,0.0163204747774481
"117","Psychedelic",7.73308024100734,0.00018,0.00066,"2C-T-4",0.0028328611898017,0.0163204747774481
"118","Psychedelic",7.62344870507015,0,0.00066,"LSZ",0,0.0163204747774481
"119","Depressant",7.83804516540582,0.00036,0.00066,"Pharms - Triazolam",0.0056657223796034,0.0163204747774481
"120","Depressant",7.62344870507015,0.00018,0.00063,"Diclazepam",0.0028328611898017,0.0155786350148368
"121","Psychedelic",7.38838487861903,0,6e-04,"Cacti - T. bridgesii",0,0.0148367952522255
"122","Psychedelic",7.38838487861903,0,6e-04,"Mushrooms - P. tampanensis",0,0.0148367952522255
"123","Depressant",7.38838487861903,0,6e-04,"Pharms - Temazepam",0,0.0148367952522255
